,Postcode,Count
0,200,1
1,400,1
2,820,4
3,828,2
4,835,1
5,836,3
6,870,1
7,871,1
8,1215,1
9,1225,1
10,1880,1
11,2000,27
12,2001,7
13,2016,1
14,2022,3
15,2028,2
16,2029,1
17,2035,1
18,2038,1
19,2045,3
20,2059,2
21,2060,6
22,2061,2
23,2070,1
24,2077,1
25,2088,5
26,2094,1
27,2099,2
28,2103,2
29,2106,1
30,2108,1
31,2110,2
32,2112,1
33,2120,1
34,2122,1
35,2129,6
36,2134,2
37,2138,5
38,2146,2
39,2147,2
40,2148,1
41,2154,2
42,2155,2
43,2156,2
44,2158,1
45,2171,1
46,2180,1
47,2203,2
48,2228,4
49,2229,2
50,2250,1
51,2256,2
52,2261,1
53,2310,2
54,2350,6
55,2370,1
56,2372,3
57,2382,1
58,2400,3
59,2406,1
60,2477,1
61,2479,2
62,2480,3
63,2481,1
64,2483,3
65,2486,5
66,2487,1
67,2488,1
68,2500,1
69,2560,2
70,2566,1
71,2576,1
72,2600,15
73,2601,5
74,2604,12
75,2606,1
76,2609,1
77,2611,1
78,2615,6
79,2632,8
80,2640,1
81,2643,1
82,2650,13
83,2675,2
84,2680,5
85,2710,1
86,2738,2
87,2745,2
88,2749,3
89,2765,1
90,2766,1
91,2767,1
92,2775,2
93,2820,3
94,2830,2
95,2842,2
96,2906,1
97,3000,4
98,3021,2
99,3023,7
100,3031,1
101,3046,3
102,3064,1
103,3083,1
104,3101,1
105,3121,1
106,3122,3
107,3123,2
108,3126,1
109,3127,2
110,3141,1
111,3142,1
112,3146,2
113,3171,2
114,3175,1
115,3182,1
116,3187,1
117,3200,1
118,3202,1
119,3205,1
120,3206,1
121,3207,1
122,3212,1
123,3230,2
124,3294,1
125,3325,3
126,3380,2
127,3496,2
128,3498,6
129,3500,7
130,3539,2
131,3549,14
132,3550,1
133,3770,4
134,3913,1
135,4000,107
136,4001,44
137,4002,11
138,4004,1
139,4005,2
140,4006,9
141,4007,6
142,4009,3
143,4011,5
144,4012,1
145,4014,4
146,4017,1
147,4019,2
148,4030,3
149,4031,1
150,4034,3
151,4035,3
152,4051,4
153,4053,3
154,4059,24
155,4060,1
156,4061,2
157,4064,8
158,4065,5
159,4066,11
160,4067,4
161,4068,10
162,4069,4
163,4070,2
164,4074,2
165,4075,3
166,4076,1
167,4087,2
168,4093,1
169,4101,11
170,4102,3
171,4105,8
172,4106,8
173,4108,1
174,4109,1
175,4110,2
176,4113,1
177,4114,1
178,4121,2
179,4122,5
180,4125,1
181,4128,2
182,4137,1
183,4152,2
184,4154,2
185,4155,2
186,4164,1
187,4165,1
188,4170,3
189,4171,6
190,4173,5
191,4178,2
192,4207,2
193,4211,2
194,4212,2
195,4213,1
196,4215,3
197,4217,2
198,4218,2
199,4220,4
200,4228,1
201,4265,1
202,4270,1
203,4285,6
204,4300,1
205,4305,5
206,4306,1
207,4310,1
208,4312,2
209,4313,1
210,4338,1
211,4341,12
212,4343,16
213,4344,1
214,4350,44
215,4352,30
216,4354,4
217,4356,21
218,4357,9
219,4358,3
220,4360,2
221,4361,8
222,4362,2
223,4364,23
224,4370,76
225,4378,1
226,4385,2
227,4387,97
228,4388,13
229,4390,20
230,4401,2
231,4403,4
232,4404,4
233,4405,7
234,4406,1
235,4407,29
236,4412,4
237,4413,68
238,4415,7
239,4416,3
240,4417,2
241,4419,34
242,4420,9
243,4428,5
244,4454,4
245,4455,6
246,4460,1
247,4465,10
248,4470,4
249,4472,4
250,4478,2
251,4486,1
252,4487,293
253,4490,39
254,4491,2
255,4497,2
256,4500,10
257,4501,1
258,4502,2
259,4503,7
260,4504,2
261,4505,2
262,4508,1
263,4509,2
264,4510,6
265,4511,2
266,4512,2
267,4515,3
268,4516,1
269,4518,1
270,4519,5
271,4520,4
272,4550,1
273,4551,9
274,4552,14
275,4553,3
276,4555,2
277,4556,8
278,4557,5
279,4558,3
280,4559,6
281,4560,6
282,4561,1
283,4562,4
284,4563,1
285,4564,1
286,4565,3
287,4566,6
288,4567,2
289,4568,2
290,4570,22
291,4572,1
292,4573,7
293,4575,2
294,4600,5
295,4601,8
296,4603,1
297,4605,172
298,4606,36
299,4607,1
300,4608,11
301,4610,149
302,4611,31
303,4612,8
304,4613,16
305,4615,37
306,4621,9
307,4625,119
308,4626,164
309,4627,47
310,4629,1
311,4630,150
312,4640,2
313,4650,265
314,4654,1
315,4655,28
316,4660,363
317,4665,1
318,4670,1328
319,4671,338
320,4676,2
321,4677,1
322,4680,45
323,4695,3
324,4697,3
325,4700,29
326,4701,17
327,4702,153
328,4703,13
329,4704,1
330,4705,9
331,4709,10
332,4710,1
333,4712,23
334,4713,1
335,4715,210
336,4716,6
337,4717,37
338,4718,57
339,4719,131
340,4720,573
341,4721,13
342,4722,9
343,4723,14
344,4724,4
345,4725,1
346,4727,2
347,4731,2
348,4737,108
349,4738,2
350,4739,2
351,4740,259
352,4741,201
353,4742,14
354,4743,8
355,4744,12
356,4745,15
357,4746,15
358,4750,2
359,4751,115
360,4753,6
361,4754,34
362,4757,2
363,4760,1
364,4767,1
365,4799,1
366,4800,168
367,4801,1
368,4802,2
369,4803,1
370,4804,50
371,4805,11
372,4806,76
373,4807,351
374,4808,12
375,4809,101
376,4810,30
377,4811,13
378,4812,10
379,4814,16
380,4815,4
381,4816,22
382,4817,7
383,4818,5
384,4820,11
385,4822,3
386,4823,2
387,4824,8
388,4825,11
389,4837,1
390,4849,2
391,4850,5
392,4854,17
393,4858,1
394,4860,12
395,4865,8
396,4868,13
397,4869,6
398,4870,111
399,4871,12
400,4872,529
401,4873,5
402,4874,1
403,4875,2
404,4877,3
405,4878,14
406,4879,16
407,4880,1047
408,4881,57
409,4882,91
410,4883,59
411,4884,21
412,4885,7
413,4887,4
414,4888,5
415,4892,1
416,4895,7
417,4955,1
418,5000,6
419,5001,1
420,5072,2
421,5107,1
422,5254,1
423,5290,2
424,5291,1
425,5340,1
426,5341,3
427,5552,1
428,6005,1
429,6009,1
430,6011,1
431,6015,1
432,6065,1
433,6164,1
434,6165,2
435,6432,1
436,6753,3
437,6872,5
438,7008,1
439,7250,4
440,7252,1
441,7260,1
442,7300,1
443,7303,3
444,7624,1
445,9726,2
446,68906,1
447,142091,2
448,4000`,1
449,44+0,1
450,NSW,1
451,(blank),
